description_id,description_text,language_hint
desc_0046,en face de le stade Arène de Kigali on RN3,FR
desc_0047,au-dessus de les bureaux Dépôt Bralirwa,FR
desc_0048,derrière la pharmacie Pharmacie de Kicukiro on RN3,FR
desc_0049,inyum🔴a ya inyubako Ibiro Nkuru bya Rwandair,KIN
desc_0050,near the big pharmacy Pharmacie Centrale Ki🟢gali,EN
desc_0051,"opposite the church Nyamirambo Mosque, white gate",EN
desc_0052,near the roundabout Kigali Central Roundabout,EN
desc_0053,opposite the offices Kacyiru Police Station,EN
desc_0054,"hafi ya ibiro Polisi ya Kacyiru, green fence",KIN
desc_0055,near the roundabout Remera Roundabout,EN
desc_0056,"near the big market Kimironko Market, white gate",EN
desc_0057,above the building Kigali City Tower on KN 3 Rd,EN
desc_0058,"opposite the building Muhima Health Centre on KG 9 Ave, stage Kacyiru",EN
desc_0059,"inyuma ya ibiro Ibitaro bya Kaminuza CHUK on KG 7 Ave, red gate",KIN
desc_0060,"above the building Kigali City Tower, yellow wall",EN
desc_0061,"derrière le bâtiment CHU de Kigali, grtcn fence",FR
desc_0062,près de le marché Marché de Kanombe on RN3,FR
desc_0063,"opposite the building Kigali Private Hospital, blue gate",EN
desc_0064,near the church Eglise Catholique Kicukiro on KN5 Ave,EN
desc_0065,à côté de l'hôtel Hotel Chez Lando on KG 7 Ave,FR
desc_0066,en face de le marché Centre Commercial Kigali Heights on KG 9 Ave,FR
desc_0067,near the chemist Pharmacie Gikondo on RN3,EN
desc_0068,en face de la grande pharmacie Pharmacie de Kicukiro,FR
desc_0069,opposite the offices Kigpli Public Library,EN
desc_0070,près de l'arrêt Arrêt Centre Kicukiro,FR
desc_0071,près de le collège École Secondaire de Nyarugenge,FR
desc_0072,derrière le bâtiment Polisi ya Kacyiru,FR
desc_0073,"near the stadium Stade National Amahoro on KG 9 Ave, white gate",EN
desc_0074,behind the offices Gasabo District Office on KN 3 Rd,EN
desc_0075,next to the offices Kigali Public Library on KG 7 Ave,EN
desc_0076,hejuru ya kiliziya Kiliziya ya Saint Michel,KIN
desc_0077,"above the big market Isoko rya Kimironko on KN 3 Rd, green fence",EN
desc_0078,"au-dessus de l'école Lycée de Kigali, white gate",FR
desc_0079,next to the📍 big market Kanombe Market,EN
desc_0080,above the building Rwandan Parliament Building on RN4,EN
desc_0081,near the market Gikondo Market,EN
desc_0082,hafi ya inyubako Inzu Nuuru y'Abadepite on KN 3 Rd,KIN
desc_0083,au-dessus de le stade Arène de Kigali,FR
desc_0084,"next to the stadium Amahoro National Stadium, red gate",EN
desc_0085,"opposite the stadium Amahoro National Stadium, yellow 🔴wall",EN
desc_0086,près de la pharmacie Pharmacie de Kimironko on KN5 Ave,FR
desc_0087,en face de le bâtiment Hôpital Privé de Kigali,FR
desc_0088,"inyuma ya aho imodoka ihagarara Agatehe ka Sonatubes, yellow wall",KIN
desc_0089,près de le bâtiment CHU de 🔴Kigali,FR
desc_0090,opposite the market Gatenga Market on RN3,EN
desc_0091,"above the roundabout Gikondo Roundabout, stage Remera",EN
desc_0092,"hafi ya ifarumsa nini Ifarumasi ya Kacyiru, red gate",KIN
desc_0093,"inyuma ya aho imodoka ihagarara Agatehe ka Kicukiro, stage Remera",KIN
desc_0094,inyuma ya ibiro Poste Nkuxu ya Kigali,KIN
desc_0095,"opposite the school Ecole Primaire Kimironko, stage Kanombe",EN
desc_0096,"near the roundabout Reemra Roundabout, yellow wall",EN
desc_0097,"near the building Centre Hospitalier Universitaire CHUK, red gate",EN
desc_0098,au-dessus de le bâtiment Siège de Rwandair,FR
desc_0099,"behind the bus stop Remera Bus Stop on RN3, blue gate",EN
desc_0100,above the big pharmacy Pharmacie Kimironko,EN
desc_0101,hafi ya oteli Oteli ya Chez Lando on KG 11 Ave,KIN
desc_0102,au-dessus de le bâtiment entra de Convention de Kigali,FR
desc_0103,inyuma ya inyubako Sitasiyo ya Total Nyarugenge,KIN
desc_0104,"au-dessus de le carrefour Carrefour Sonatubes Kicukiro, stage Remera",FR
desc_0105,à côté de les bureaux Siège de Rwandair,FR
desc_0106,"inyuma ya inyubako Ivuriro rya Muhima on RN3, stage Kimironko",KIN
desc_0107,"near the offices Kigali Private Hospital on RN3, stage Kanombe",EN
desc_0108,"next to the big pharmacy Ifarumasi ya Kimironko, blue gate",EN
desc_0109,derrière les bureaux Dépôt Bralirwa,FR
desc_0110,near the building Gasabo District Office,EN
desc_0111,"opposite the junction Gikondo Roundabout, blue gate",EN
desc_0112,"opposite the junction Gikondo Roundabout on RN3, stage Remera",EN
desc_0113,behind the building Centre Hospitalier Universitaire CHUK on KG 7 Ave,EN
desc_0114,"above the stadium Kigali Arena, stage Kacyiru",EN
desc_0115,above the hotel Hotel Chez Lando,EN
desc_0116,above the chemist Pharmacie Gikondo,EN
desc_0117,"next to the offices Cente Hospitalier Universitaire CHUK, white gate",EN
desc_0118,en face de le bâtiment Dépôt Bralirwa,FR
desc_0119,"near the junction Kigali Central Roundabout, red gate",EN
desc_0120,above the building uMhima Health Centre,EN
desc_0121,près de la grande églisv Église Catholique de Kicukiro on KN 3 Rd,FR
desc_0122,derrière l'école École Secondaire de Nyarugenge,FR
desc_0123,behind the hotel Hotel des Mille Collines,EN
desc_0124,hafi ya ifarumasi nini Ifarumasi ya Kackiru,KIN
desc_0125,hejuru ya ibiro Iuybako y'Ibitabo,KIN
desc_0126,hejuru ya farumasi Ifarumasi ya Gikondo,KIN
desc_0127,en face de la pharmacie Pharmacie du Peuple Nyarugenge,FR
desc_0128,"near the junction Sonatubes Roundabout Kicukiro, stage Nyabugogo",EN
desc_0129,near the chemist Pharmacie du Peuple,EN
desc_0130,above the college Lycee de Kigali,EN
desc_0131,"inyuma ya isoko rinini Isoko rya Kimironko, blue gate",KIN
desc_0132,opposite the offices Kacyiru Police Station,EN
desc_0133,next to the market Gikondo Market📍,EN
desc_0134,near the offices Kacyiru Hospital on RN4,EN
desc_0135,opposite the building Rwandan Parliament Building on RN3,EN
desc_0136,"hejuru ya isoko Isoko rya Kimironko, stage Kimironko",KIN
desc_0137,au-dessus de les bureaux Centre de Santé Muhima on KN 3 Rd,FR
desc_0138,near the market Kanombe Market on RN3,EN
desc_0139,opposite the market Kanombe Market,EN
desc_0140,"hafi ya ibiro Iryubako ya Kigali, red gate",KIN
desc_0141,behind the offices Kigali Public Library,EN
desc_0142,"à côté de le bâtiment Aéroport International de Kigali on RN4, red gate",FR
desc_0143,derrière le rond-point Carrefour Sonatubes Kicukiro,FR
desc_0144,near the offices Kicukiro District Office,EN
desc_0145,"derrière les bureaux Centre de Santé Mhima on RN4, blue gate",FR
desc_0146,"opposite the chemist Pharmacie Gikondo, green fence",EN
desc_0147,au-dessus de le carrefour Kigali Central Roundabout on KG 11 Ave,FR
desc_0148,hafi ya 🟢kaminuza Ishuri Rikuru rya Kigali,KIN
desc_0149,près de le grand marché Centde Commercial Kigali Heights,FR
desc_0150,derrière l'église Église Restauration,FR
desc_0151,en face de le stade Stade National Amahoro,FR
desc_0152,"near the offices Kacyiru Hospital, stage Kimironko",EN
desc_0153,"au-dessus de les bureaux Station Total Nyarugenge, stage Sonatubes",FR
desc_0154,en face de le carrefour Carrefour Sonatubes Kicukiro,FR
desc_0155,hafi ya ahazunguruka Ahazunguruka ka Remera,KIN
desc_0156,near the offices Kigali Public Library on KN5 Ave,EN
desc_0157,next to the pharmacy Pharmacie Remera on 🔴RN4,EN
desc_0158,behind the building Bralirwa Depot Nyarugenge on RN3,EN
desc_0159,à côté de le bât🔴iment Aéroport International de Kigali,FR
desc_0160,"hafi ya itorero Kiliziya ya Saint Michel, blue gate",KIN
desc_0161,au-dessus de le terminus Agatehe ka Kicukiro,FR
desc_0162,en face de la pharmacie Pharmacie de Kacyiru,FR
desc_0163,hejuru ya junction Ahazunguruka ka Sonatubes,KIN
desc_0164,behind the market Ga🏪tenga Market on KG 7 Ave,EN
desc_0165,"near the building Kacyidu Police Station, white gate",EN
desc_0166,hafi ya ibiro Ibiro bya Akarere ka icpkiro on RN3,KIN
desc_0167,hejuru ya junction Gikondo Roundabout on RN3,KIN
desc_0168,"opposite the hotel Hotel des Mille Collines, red gate",EN
desc_0169,à côté de la grande église Église Restauration,FR
desc_0170,near the big market Nyarugenge Market,EN
desc_0171,behind the market Gikondo Market,EN
desc_0172,hejuru ya stadiyumu Inyubako ya Kigali Arena,KIN
desc_0173,bve the bus stop Kicukiro Centre Bus Stop on KG 9 Ave,EN
desc_0174,"behind the bus stop Sonatubes Bus Stop, green fence",EN
desc_0175,above the offices Kigali International Airport,EN
desc_0176,near the junction Kigali Central Roundbsut,EN
desc_0177,"next to the ofics Kacyiru Hospital on KG 7 Ave, yellow wall",EN
desc_0178,hafi ya itorero Kiliziya ya Saint Michel,KIN
desc_0179,"inyuma ya inyubako Ivuriro rya Muhima, yellow wall",KIN
desc_0180,au-dessus de l'hôtel Hôtel des Mille Collines,FR
desc_0181,next to the buil🏪ding Station Total Nyarugenge on KG 9 Ave,EN
desc_0182,inyuma ya ibiro Inzu Nkuru y'Abadepite,KIN
desc_0183,"derrière les bureaxu Siège de Rwandair, blue gate",FR
desc_0184,inyuma ya ahazunguruka Ahazunguruka ka Vision,KIN
desc_0185,"behind the offices Kacyiru Hospital on KG 7 Ave, stage Nyabugogo",EN
desc_0186,next to the building ijali Public Library on RN4,EN
desc_0187,abov📍e the building Kigali Private Hospital,EN
desc_0188,near the building Kigali Central Post Office,EN
desc_0189,hafi ya stadiyumu Inyubako ya Kigali Arena on RN4,KIN
desc_0190,inyuma ya inyubako Inyubako y'Ibitabo on KN 3 Rd,KIN
desc_0191,next to the 🏍️big market Gatenga Market,EN
desc_0192,hejuru ya ishuri Ishuri Rikuru rya Nyarugenge,KIN
desc_0193,"près de l'église Église Restauration, stage Sonatubes",FR
desc_0194,"above the big pharmacy Pharmacie Kimironko, stage Sonatubes",EN
desc_0195,next to the church Saint Michel Cathedtal,EN
desc_0196,"hafi ya isoko rinini Isoko Rinini rya Kigali Heights, stage Kanombe",KIN
desc_0197,"hejuru ya ahazunguruka Ahazunguruka ka Sonatubes, yellow wall",KIN
desc_0198,above the big market Nyarugenge Market,EN
desc_0199,near the big pharmacy Pharmacie du Peuple,EN
